images_intro,price,title,hot_line,link_source,point,rating_total,star_percent_list,branch,Công nghệ màn hình,Độ phân giải,Màn hình rộng,Camera sau,Quay phim,Camera trước,Hệ điều hành,Chipset (hãng SX CPU),Tốc độ CPU,Bộ nhớ trong,Mạng di động,Wifi,Bluetooth,Cổng kết nối/sạc
https://didongviet.vn/pub/media/catalog/product//i/p/iphone-12-64gb-didongviet.jpeg,17.590.000₫,iPhone 12 128GB Chính Hãng (VN/A),1800.6018,https://didongviet.vn/iphone-12-128gb-vna.html,4.5,,,iPhone,Super Retina XDR OLED,1170 x 2532 pixels,6.1 inches,12 MP + 12 MP,"4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 30fps)",12 MP,iOS 14,Apple A14 Bionic (5 nm),Hexa-core,128 GB,Hỗ trợ 5G,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","Lightning, USB 2.0"
https://didongviet.vn/pub/media/catalog/product//i/p/iphone-12-pro-512gb-vna-dd.jpg,27.400.000₫,iPhone 12 Pro 512GB Chính Hãng (VN/A),1800.6018,https://didongviet.vn/iphone-12-pro-512gb-vna.html,4.5,,,iPhone,Super Retina XDR OLED,1170 x 2532 pixels,6.1 inches,12 MP + 12 MP + 12 MP + TOF,"4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps)",12 MP,iOS 14,Apple A14 Bionic (5 nm),Hexa-core,512 GB,Hỗ trợ 5G,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","Lightning, USB 2.0"
https://didongviet.vn/pub/media/catalog/product//d/e/den-thumb.png,14.990.000₫,iPhone SE 3 256GB Chính Hãng (VN/A),1800.6018,https://didongviet.vn/iphone-se-2022-256gb.html,4.5,,,iPhone,IPS LCD,Full HD+ (1080 x 2400 Pixels),"4.7"" - Tần số quét 60Hz",12 MP,FullHD 1080p@30fps / HD 720p@30fps,12 MP,iOS 15,Apple A15 Bionic,,256 GB,Hỗ trợ 5G,Wi-Fi 802.11 a/b/g/n/ac / Dual-band (2.4 GHz/5 GHz) / DLNA / Wi-Fi Direct / Wi-Fi hotspot,v5.0,Lightning
https://didongviet.vn/pub/media/catalog/product//i/p/ip12.jpg,15.390.000₫,iPhone 12 64GB Chính Hãng (VN/A),1800.6018,https://didongviet.vn/iphone-12-64gb-vna.html,4.5,,,iPhone,Super Retina XDR OLED,1170 x 2532 pixels,6.1 inches,12 MP + 12 MP,"4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 30fps), stereo sound rec.",12 MP,iOS 14.1,Apple A14 Bionic (5 nm),Hexa-core,64 GB,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","Lightning, USB 2.0"
https://didongviet.vn/pub/media/catalog/product//i/p/iphone-11-128gb-chinh-hang_2.jpg,12.590.000₫,iPhone 11 128GB Chính Hãng (VN/A) ,1800.6018,https://didongviet.vn/iphone-11-128gb-chinh-hang.html,4.5,,,iPhone,IPS LCD,828 x 1792 pixels,6.1 inches,12 MP + 12 MP,"2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.","12 MP, f/2.2",iOS 13,Apple A13 Bionic (7 nm+),,128 GB,,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot","5.0, A2DP, LE",
https://didongviet.vn/pub/media/catalog/product//x/i/xiaomi-redmi-note-10s-den-didongviet.jpg,5.390.000₫,Redmi Note 10s (8GB|128GB) Chính Hãng,1800.6018,https://didongviet.vn/xiaomi-redmi-note-10s,4.5,,,Xiaomi,AMOLED,1080 x 2400 pixels,6.43 inches,64 MP + 8 MP + 2 MP +  2 MP,"HD 720p@30fps, FullHD 1080p@30fps",13 MP,"Android 11, MIUI 12",Mediatek Helio G95 (12 nm),Octa-core,64/128 GB,4G,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE",USB Type-C 2.0
https://didongviet.vn/pub/media/catalog/product//x/i/xiaomi-redmi-9a-didongviet.jpg,2.200.000₫,Xiaomi Redmi 9A (2GB|32GB) Chính Hãng,1800.6018,https://didongviet.vn/xiaomi-redmi-9a,4.5,,,Xiaomi,IPS LCD,HD+ (700 x 1600 Pixels),6.53 inch,13 MP,"Quay phim HD 720p@30fps, Quay phim FullHD 1080p@30fps",5 MP,Android 10,MediaTek Helio G25 8 nhân,8 nhân 2.0 GHz,32 GB,Hỗ trợ 4G,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, Wi-Fi hotspot","A2DP, LE",Micro USB
https://didongviet.vn/pub/media/catalog/product//x/i/xiaomi-11-lite-5g-128gb-didongviet.jpg,7.590.000₫,Xiaomi 11 Lite 5G NE (8GB|128GB) Chính Hãng,1800.6018,https://didongviet.vn/xiaomi-11-lite-5g-ne-128gb,4.5,,,Xiaomi,AMOLED DotDisplay,Full HD+ (1080 x 2400 Pixels),"6.55"" - Tần số quét 90 Hz",64MP + 8MP + 5MP,"4K 2160p@30fps, FullHD 1080p@240fps, FullHD 1080p@30fps, HD 720p@960fps",20 MP,Android 11,Qualcomm Snapdragon 778G,Up to 2.4GHz,128 GB,Hỗ trợ 5G,"Wifi 6 802.11 ax/b/g/n/ac/6e, dual-band, Wi-Fi Direct, hotspot","5.2, A2DP, LE, aptX HD",USB Type-C
https://didongviet.vn/pub/media/catalog/product//x/i/xiaomi-12-didongviet.jpg,14.990.000₫,Xiaomi 12 (8GB|256GB) Chính Hãng,1800.6018,https://didongviet.vn/xiaomi-12-chinh-hang.html,4.5,,,Xiaomi,AMOLED,Full HD+ (1080 x 2400 Pixels),"6.28"" - Tần số quét 120Hz","Chính 50 MP &amp; Phụ 13 MP, 5 MP",8K@24fps (HDR10) / 4K@30fps (HDR10+) / 1080p@30/120/240/960fps / 720p@1920fps,32 MP,Android 12 - MIUI 13,Qualcomm Snapdragon 8 Gen1,1 nhân 3.0 GHz &amp; 3 nhân 2.5 GHz &amp; 4 nhân 1.8 GHz,256 GB,5G,Wi-Fi 802.11 a/b/g/n/ac / Dual-band (2.4 GHz/5 GHz) / DLNA / Wi-Fi Direct / Wi-Fi hotspot,v5.2,Type-C
https://didongviet.vn/pub/media/catalog/product//x/i/xiaomi-redmi-10-128gb-didongviet.jpg,3.550.000₫,Xiaomi Redmi 10 (4GB|128GB) Chính Hãng,1800.6018,https://didongviet.vn/xiaomi-redmi-10-4gb-128gb.html,4.5,,,Xiaomi,IPS LCD,(2400 x 1080 pixel) FHD+,6.5 inch,"50 MP với khẩu độ f / 1.8 - Cảm biến siêu rộng 8MP với khẩu độ f / 2.2, macro 2MP - Cảm biến độ sâu 2MP với khẩu độ f / 2.4",,8 MP với khẩu độ f / 2.0,Android 11với MIUI 12.5,Octa Core MediaTek Helio G88,2GHz Cortex-A75 + Hexa 2 GHz 6x Cortex-A55,64 GB /128 GB (eMMC 5.1),Dual 4G VoLTE,2.4 GHz / 5GHz,5.1,USB Type-C
