images_intro,price,title,hot_line,link_source,rating_total,branch,RAM,CPU,Bộ nhớ,Màn hình,Màu sắc
https://cdn.mediamart.vn/images/product/apple-iphone-13-pro-max-128g-blue-Q8TaJN.jpg,26.990.000 ₫,Apple Iphone 13 Pro Max 128G Blue,1900.6788,https://mediamart.vn/smartphones/apple-iphone-13-pro-max-128g-blue,(1) ,Apple,6 GB,A15 Bionic,128 GB,6.7 inch,"Blue,Green,Gold,Gray,Silver"
https://cdn.mediamart.vn/images/product/apple-iphone-se-128g-5g-white-2022_9b53f908.jpg,13.990.000 ₫,Apple iphone SE 128G 5G White (2022),1900.6788,https://mediamart.vn/smartphones/apple-iphone-se-128g-5g-white-2022,(0) ,Apple,3 GB,A15 Bionic,128 GB,4.7 inch,
https://cdn.mediamart.vn/images/product/-ZYCpbR.jpg,26.490.000 ₫,APPLE iPhone 12 Pro 256G Silver (2020),1900.6788,https://mediamart.vn/smartphones/apple-iphone-12-pro-256g-2020,(1) ,Apple,6 GB,A14 Bionic,256 GB,6.1 inch,"Silver,Blue,Gray,Gold"
https://cdn.mediamart.vn/images/product/apple-iphone-13-128g-pink-Dc4VHr.jpg,19.990.000 ₫,Apple Iphone 13 128G Pink,1900.6788,https://mediamart.vn/smartphones/apple-iphone-13-128g-pink,(1) ,Apple,4 GB,A15 Bionic,128 GB,6.1 inch,"Pink,White,Black,Green,Blue,Red"
https://cdn.mediamart.vn/images/product/apple-iphone-13-pro-max-128g-green_fbd03c86.jpg,26.990.000 ₫,Apple iphone 13 Pro Max 128G Green,1900.6788,https://mediamart.vn/smartphones/apple-iphone-13-pro-max-128g-green,(0) ,Apple,6 GB,A15 Bionic,128 GB,6.7 inch,"Blue,Green,Gold,Gray,Silver"
https://cdn.mediamart.vn/images/product/apple-iphone-se-64g-5g-white-2022_063ae8a8.jpg,12.490.000 ₫,Apple iphone SE 64G 5G White (2022),1900.6788,https://mediamart.vn/smartphones/apple-iphone-se-64g-5g-white-2022,(0) ,Apple,3 GB,A15 Bionic,64 GB,4.7 inch,
https://cdn.mediamart.vn/images/product/-d6ol63.jpg,16.490.000 ₫,APPLE iPhone 12 64G Black (2020),1900.6788,https://mediamart.vn/smartphones/apple-iphone-12-64g-2020,(1) ,Apple,,A14 Bionic,64 GB,6.1 inch,"Black,Green,White,Purple,Red"
https://cdn.mediamart.vn/images/product/apple-iphone-se-64g-5g-red-2022_41ef8042.jpg,12.490.000 ₫,Apple iphone SE 64G 5G Red (2022),1900.6788,https://mediamart.vn/smartphones/apple-iphone-se-64g-5g-red-2022,(0) ,Apple,3 GB,A15 Bionic,64 GB,4.7 inch,
https://cdn.mediamart.vn/images/product/apple-iphone-se-128g-5g-black-2022_86d41eee.jpg,13.990.000 ₫,Apple iphone SE 128G 5G Black (2022),1900.6788,https://mediamart.vn/smartphones/apple-iphone-se-128g-5g-black-2022-,(0) ,Apple,3 GB,A15 Bionic,128 GB,4.7 inch,
https://cdn.mediamart.vn/images/product/dien-thoai-itel-it1516plus-calx-A04WkW.png,990.000 ₫,Điện thoại Itel IT1516 Plus Calx,1900.6788,https://mediamart.vn/smartphones/dien-thoai-itel-it1516plus-calx,(1) ,Itel,1 GB,,8 GB,5.0 inch,
https://cdn.mediamart.vn/images/product/30500_20407_dien-thoai-lenovo-a2010-black.jpg,690.000 ₫,Điện thoại Lenovo A2010 Black,1900.6788,https://mediamart.vn/smartphones/dien-thoai-lenovo-a2010-black,(1) ,Lenovo,1 GB,MT 6735,8 GB,4.5 inch,
https://cdn.mediamart.vn/images/product/din-thoi-masstel-4g-hapi-30-gold_a6f4e4c7.jpg,2.390.000 ₫,Điện thoại Masstel 4G Hapi 30 Gold,1900.6788,https://mediamart.vn/smartphones/dien-thoai-masstel-4g-hapi-30-gold,(0) ,Masstel,3 GB,SC9863A,32 GB,6.26 inch,"Gold,Blue,Black"
https://cdn.mediamart.vn/images/product/din-thoi-realme-c21-y-4-64-den_2f810b00.jpg,4.090.000 ₫,Điện thoại Realme C21-Y (4-64) Đen,1900.6788,https://mediamart.vn/smartphones/dien-thoai-realme-c21-y-4-64-den,(0) ,Realme,4 GB,Spreadtrum T610,64 GB,6.5 inch,"Đen (2-32),Xanh (2-32),Đen (4-64),Xanh (4-64)"
https://cdn.mediamart.vn/images/product/din-thoi-vivo-2120-y15s-332gb-mau-xanh-den_35776e73.jpg,2.990.000 ₫,Điện thoại Vivo 2120-Y15s (3+32GB) xanh đen,1900.6788,https://mediamart.vn/smartphones/dien-thoai-vivo-2120-y15s-3-32gb-mau-xanh-den,(0) ,Vivo,3 GB,Helio P35,32 GB,6.51 inch,"xanh đen,trắng xanh"
https://cdn.mediamart.vn/images/product/xiaomi-redmi-note-6-pro-UjsS9A.jpg,2.890.000 ₫,Điện thoại Xiaomi Redmi Note 6 Pro 32Gb Black,1900.6788,https://mediamart.vn/smartphones/dien-thoai-xiaomi-redmi-note-6-pro-32gb-black,(1) ,Xiaomi,3 GB,Snapdragon 636,32 GB,,
https://cdn.mediamart.vn/images/product/dien-thoai-oppo-cph2325-a55-den-manh-me-dY8mRN.jpg,4.390.000 ₫,Điện thoại OPPO CPH2325 - A55 Đen Mạnh Mẽ,1900.6788,https://mediamart.vn/smartphones/dien-thoai-oppo-cph2325-a55-den-manh-me,(1) ,Oppo,4 GB,Helio G35,64 GB,6.51 inch,"Đen,Xanh,Xanh lá"
