pathImg,option,price,title,hot_line,url,point,rating_total,producer,Hệ điều hành,Màn hình,Mặt kính cảm ứng,Màn hình rộng,Độ phân giải,ram,memory,CPU,chip,Camera Sau,Camera trước,Thẻ sim,Thẻ nhớ ngoài,Dung lượng pin,Màu sắc,Bluetooth,color
"{'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-pro-max-xanh-1tb.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-pro-max-than-chi-1tb.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-pro-max-bac-1tb.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-pro-max-vang-1tb.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-pro-max-xanh-la-1tb.jpg'}",1TB,39.990.000đ,iPhone 13 Pro Max 1TB | Chính hãng VN/A,1900.0351,https://24hstore.vn/iphone-13-pro-max-moi/iphone-13-pro-max-1tb-p5916,4.5,2 đánh giá,iPhone (Apple),iOS 15,2021,160.8 x 78.1 x 7.7 mm 6.33 x 3.07 x 0.30 in,"Than Chì, Vàng, Bạc, Xanh Sierra","Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits thấp nhất, 1200 nits cao nhất",Gorilla Glass,6.7 inch chiếm khoảng 87.4% thân máy,"1284 x 2778 pixels, 19.59",458 ppi,6GB,512GB,Không,Apple A15 Bionic 5 nm 6 nhân,Apple GPU 5 nhân,Stereo,"12 MP, f/1.5, 26mm wide, 1.9µm, dual pixel PDAF, sensor-shift stabilization IBIS 12 MP, f/2.8, 77mm telephoto, PDAF, OIS, 3x optical zoom 12 MP, f/1.8, 13mm, 120˚ ultrawide, PDAF","Bạc,Xanh,Than Chì,Vàng Đồng,Xanh Lá"
"{'https://24hstore.vn/images/products/2021/01/29/original/iphone-12-pro-silver_1611903069_1.jpg', 'https://24hstore.vn/images/products/2021/01/29/original/iphone-12-pro-graphite_1611903069_1.jpg', 'https://24hstore.vn/images/products/2021/01/29/original/iphone-12-pro-gold_1611903069_1.jpg', 'https://24hstore.vn/images/products/2021/01/29/original/iphone-12-pro-blue_1611903069_1.jpg'}",512 GB,21.990.000đ,iPhone 12 Pro 512GB Cũ chính hãng,1900.0351,https://24hstore.vn/iphone-12-pro-cu/iphone-12-pro-512gb-cu-p5673,5,1 đánh giá,iPhone (Apple),iOS 14,2020,146.7 x 71.5 x 7.4 mm 5.78 x 2.81 x 0.29 in,"Bạc, Than Chì, Vàng, Xanh Thái Bình Dương","Super Retina XDR OLED, HDR10, 800 nits đến 1200 nits",Gorilla Glass,"6.1 inches, 90.2 cm2","1170 x 2532 pixels, 19.59",460 ppi,6GB,512GB,Không,Apple A14 Bionic 5 nm 6 nhân,Apple GPU 4 nhân,Stereo,"camera góc rộng 12 MP ƒ/1.6, camera góc siêu rộng 12 MP ƒ/2.4, telephoto 12 MP ƒ/2.0","Vàng Đồng,Than Chì,Xanh,Bạc"
"{'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-512gb-hong.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-xanh-la-512gb.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-trang-512gb.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-do-512gb.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-xanh-512gb.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-den-512gb.jpg'}",512 GB,24.990.000đ,iPhone 13 512GB | Chính hãng VN/A,1900.0351,https://24hstore.vn/iphone-13/iphone-13-512gb-p5908,5,1 đánh giá,iPhone (Apple),iOS 15,2021,146.7 x 71.5 x 7.7 mm 5.78 x 2.81 x 0.30 in,"Trắng, Đen, Xanh, Hồng, Đỏ","Super Retina XDR OLED, HDR10, Dolby Vision, 800 nits thấp nhất, 1200 nits cao nhất",Gorilla Glass,6.1 inch chiếm khoảng 87.1% thân máy,"1170 x 2532 pixels, 19.59",457 ppi,4GB,512GB,Không,Apple A15 Bionic 5 nm 6 nhân,Apple GPU 5 nhân,Stereo,"12 MP, f/1.6, wide, dual pixel PDAF, sensor-shift stabilization IBIS 12 MP, f/2.4, 120˚, 13mm ultrawide","Xanh,Đen,Hồng,Đỏ,Trắng,Xanh Lá"
"{'https://24hstore.vn/images/products/2021/01/29/original/iphone-12-pro-max-blue_1611903970_1.jpg', 'https://24hstore.vn/images/products/2021/01/29/original/iphone-12-pro-max-graphite_1611903970_1.jpg', 'https://24hstore.vn/images/products/2021/01/29/original/iphone-12-pro-max-gold_1611903970_1.jpg', 'https://24hstore.vn/images/products/2021/01/29/original/iphone-12-pro-max-silver_1611903970_1.jpg'}",512 GB,25.490.000đ,iPhone 12 Pro Max 512GB Cũ chính hãng,1900.0351,https://24hstore.vn/iphone-12-pro-max-cu/iphone-12-pro-max-512gb-cu-p5679,0,0 đánh giá,iPhone (Apple),iOS 14,2020,160.8 x 78.1 x 7.4 mm 6.33 x 3.07 x 0.29 in,"Bạc, Than Chì, Vàng, Xanh Thái Bình Dương","Super Retina XDR OLED, HDR10, 800 nits đến 1200 nits",Gorilla Glass,"6.7 inches, 109.8 cm2 chiếm khoảng 87.4% thân máy","1284 x 2778 pixels, 19.59",458 ppi,6GB,512GB,Không,Apple A14 Bionic 5 nm 6 nhân,Apple GPU 4 nhân,Stereo,"camera góc rộng 12 MP ƒ/1.6, camera góc siêu rộng 12 MP ƒ/2.4, telephoto 12 MP ƒ/2.2, quét độ sâu TOF 3D LiDAR scanner","Vàng Đồng,Than Chì,Xanh,Bạc"
"{'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-pro-max-xanh-1tb.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-pro-max-than-chi-1tb.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-pro-max-bac-1tb.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-pro-max-vang-1tb.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-pro-max-xanh-la-1tb.jpg'}",1TB,39.990.000đ,iPhone 13 Pro Max 1TB | Chính hãng VN/A,1900.0351,https://24hstore.vn/iphone-13-pro-max-moi/iphone-13-pro-max-1tb-p5916,4.5,2 đánh giá,iPhone (Apple),iOS 15,2021,160.8 x 78.1 x 7.7 mm 6.33 x 3.07 x 0.30 in,"Than Chì, Vàng, Bạc, Xanh Sierra","Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits thấp nhất, 1200 nits cao nhất",Gorilla Glass,6.7 inch chiếm khoảng 87.4% thân máy,"1284 x 2778 pixels, 19.59",458 ppi,6GB,512GB,Không,Apple A15 Bionic 5 nm 6 nhân,Apple GPU 5 nhân,Stereo,"12 MP, f/1.5, 26mm wide, 1.9µm, dual pixel PDAF, sensor-shift stabilization IBIS 12 MP, f/2.8, 77mm telephoto, PDAF, OIS, 3x optical zoom 12 MP, f/1.8, 13mm, 120˚ ultrawide, PDAF","Bạc,Xanh,Than Chì,Vàng Đồng,Xanh Lá"
"{'https://24hstore.vn/images/products/2022/04/01/original/iphone-13-pro-max-gold_1648803105_1.jpg', 'https://24hstore.vn/images/products/2022/04/01/original/iphone-13-pro-max-graphite_1648803105_1.jpg', 'https://24hstore.vn/images/products/2022/04/01/original/iphone-13-pro-max-silver_1648803105_1.jpg', 'https://24hstore.vn/images/products/2022/04/01/original/iphone-13-pro-max-blue_1648803105_1.jpg'}",256 GB,26.990.000đ,iPhone 13 Pro Max 256GB Cũ chính hãng,1900.0351,https://24hstore.vn/apple-iphone-13-pro-max-cu/iphone-13-pro-max-256gb-cu-p6323,0,0 đánh giá,iPhone (Apple),iOS 15,2021,160.8 x 78.1 x 7.7 mm 6.33 x 3.07 x 0.30 in,"Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits thấp nhất, 1200 nits cao nhất",Gorilla Glass,6.7 inch chiếm khoảng 87.4% thân máy,"1284 x 2778 pixels, 19.59",458 ppi,6GB,256GB,Apple A15 Bionic 5 nm 6 nhân,Apple GPU 5 nhân,,Stereo,,"12 MP, f/1.5, 26mm wide, 1.9µm, dual pixel PDAF, sensor-shift stabilization IBIS 12 MP, f/2.8, 77mm telephoto, PDAF, OIS, 3x optical zoom 12 MP, f/1.8, 13mm, 120˚ ultrawide, PDAF","Than Chì,Vàng Đồng,Bạc,Xanh"
"{'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-pro-max-xanh-1tb.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-pro-max-than-chi-1tb.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-pro-max-bac-1tb.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-pro-max-vang-1tb.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-pro-max-xanh-la-1tb.jpg'}",1TB,39.990.000đ,iPhone 13 Pro Max 1TB | Chính hãng VN/A,1900.0351,https://24hstore.vn/iphone-13-pro-max-moi/iphone-13-pro-max-1tb-p5916,4.5,2 đánh giá,iPhone (Apple),iOS 15,2021,160.8 x 78.1 x 7.7 mm 6.33 x 3.07 x 0.30 in,"Than Chì, Vàng, Bạc, Xanh Sierra","Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits thấp nhất, 1200 nits cao nhất",Gorilla Glass,6.7 inch chiếm khoảng 87.4% thân máy,"1284 x 2778 pixels, 19.59",458 ppi,6GB,512GB,Không,Apple A15 Bionic 5 nm 6 nhân,Apple GPU 5 nhân,Stereo,"12 MP, f/1.5, 26mm wide, 1.9µm, dual pixel PDAF, sensor-shift stabilization IBIS 12 MP, f/2.8, 77mm telephoto, PDAF, OIS, 3x optical zoom 12 MP, f/1.8, 13mm, 120˚ ultrawide, PDAF","Bạc,Xanh,Than Chì,Vàng Đồng,Xanh Lá"
"{'https://24hstore.vn/images/products/2021/01/29/original/iphone-12-pro-max-blue_1611903970_1.jpg', 'https://24hstore.vn/images/products/2021/01/29/original/iphone-12-pro-max-graphite_1611903970_1.jpg', 'https://24hstore.vn/images/products/2021/01/29/original/iphone-12-pro-max-gold_1611903970_1.jpg', 'https://24hstore.vn/images/products/2021/01/29/original/iphone-12-pro-max-silver_1611903970_1.jpg'}",512 GB,25.490.000đ,iPhone 12 Pro Max 512GB Cũ chính hãng,1900.0351,https://24hstore.vn/iphone-12-pro-max-cu/iphone-12-pro-max-512gb-cu-p5679,0,0 đánh giá,iPhone (Apple),iOS 14,2020,160.8 x 78.1 x 7.4 mm 6.33 x 3.07 x 0.29 in,"Bạc, Than Chì, Vàng, Xanh Thái Bình Dương","Super Retina XDR OLED, HDR10, 800 nits đến 1200 nits",Gorilla Glass,"6.7 inches, 109.8 cm2 chiếm khoảng 87.4% thân máy","1284 x 2778 pixels, 19.59",458 ppi,6GB,512GB,Không,Apple A14 Bionic 5 nm 6 nhân,Apple GPU 4 nhân,Stereo,"camera góc rộng 12 MP ƒ/1.6, camera góc siêu rộng 12 MP ƒ/2.4, telephoto 12 MP ƒ/2.2, quét độ sâu TOF 3D LiDAR scanner","Vàng Đồng,Than Chì,Xanh,Bạc"
"{'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-512gb-hong.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-xanh-la-512gb.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-trang-512gb.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-do-512gb.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-xanh-512gb.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-13-den-512gb.jpg'}",512 GB,24.990.000đ,iPhone 13 512GB | Chính hãng VN/A,1900.0351,https://24hstore.vn/iphone-13/iphone-13-512gb-p5908,5,1 đánh giá,iPhone (Apple),iOS 15,2021,146.7 x 71.5 x 7.7 mm 5.78 x 2.81 x 0.30 in,"Trắng, Đen, Xanh, Hồng, Đỏ","Super Retina XDR OLED, HDR10, Dolby Vision, 800 nits thấp nhất, 1200 nits cao nhất",Gorilla Glass,6.1 inch chiếm khoảng 87.1% thân máy,"1170 x 2532 pixels, 19.59",457 ppi,4GB,512GB,Không,Apple A15 Bionic 5 nm 6 nhân,Apple GPU 5 nhân,Stereo,"12 MP, f/1.6, wide, dual pixel PDAF, sensor-shift stabilization IBIS 12 MP, f/2.4, 120˚, 13mm ultrawide","Xanh,Đen,Hồng,Đỏ,Trắng,Xanh Lá"
"{'https://24hstore.vn/images/products/2022/06/22/original/iphone-12-256gb-xanh-la.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-12-256gb-tim.jpg', 'https://24hstore.vn/images/products/2022/03/26/original/iphone-12-green_1.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-12-256gb-den.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-12-256gb-xanh-navy.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-12-256gb-trang.jpg', 'https://24hstore.vn/images/products/2022/06/22/original/iphone-12-256gb-do.jpg'}",256 GB,19.990.000đ,iPhone 12 256GB | Chính hãng VN/A,1900.0351,https://24hstore.vn/iphone-12/iphone-12-256gb-p5414,4.5,2 đánh giá,iPhone (Apple),iOS 14,2020,146.7 x 71.5 x 7.4 mm 5.78 x 2.81 x 0.29 in,"Đen, Trắng, Đỏ, Xanh Lá, Xanh Navy","Super Retina XDR OLED, HDR10, 625 nits đến 1200 nits",Gorilla Glass,"6.1 inches, 90.2 cm2 chiếm khoảng 86.0% thân máy","1170 x 2532 pixels, 19.59",460 ppi,4GB,256GB,Không,Apple A14 Bionic 5nm 6 nhân,Apple GPU 4 nhân,Stereo,"camera góc rộng 12 MP ƒ/1.6, camera góc siêu rộng 12 MP ƒ/2.4","Đỏ,Xanh Navy,Xanh Lá,Trắng,Đen"
