url,title,pathImg,price,producer,size,pin,chip,ram,memory
https://didongthongminh.vn/iphone-11-128gb-chinh-hang-vn-a-phien-ban-hop-moi,iPhone 11 128GB Chính Hãng VN/A,https://didongthongminh.vn/images/products/2022/01/25/resized/iphone-11-128gb-xanh-chinh-hang_1643101154.jpg,13.140.000đ ,iphone,"6.1"" - Tần số quét 60 Hz ",3110 mAh ,Apple A13 Bionic 6 nhân ,4 GB , 128 GB 
https://didongthongminh.vn/iphone-11-64gb,iPhone 11 64GB Chính Hãng VN/A,https://didongthongminh.vn/images/products/2022/01/25/resized/iphone-11-64gb-red-do-chinh-hang_1643100922.jpg,11.640.000đ ,iphone,"6.1"" - Tần số quét 60 Hz ",3110 mAh ,Apple A13 Bionic 6 nhân ,4 GB ,64 GB 
https://didongthongminh.vn/iphone-13-pro-256gb-chinh-hang-vn-a,iPhone 13 Pro 256GB Chính hãng VN/A,https://didongthongminh.vn/images/products/2022/01/25/resized/iphone-13-pro-256gb-gold-chinh-hang_1643098992.jpg,29.590.000đ ,iphone," 6.1"" - Tần số quét 120 Hz ",3095 mAh ,Apple A15 Bionic 6 nhân ,6 GB ,256 GB 
https://didongthongminh.vn/iphone-13-pro-max-256gb-chinh-hang-vn-a,iPhone 13 Pro Max 256GB Chính hãng VN/A,https://didongthongminh.vn/images/products/2022/03/09/resized/iphone-13-pro-max-xanh_1646789631.png,31.740.000đ ,iphone,"6.7"" - Tần số quét 120 Hz ",4352 mAh ,Apple A15 Bionic 6 nhân ,6 GB ,256 GB 
https://didongthongminh.vn/iphone-13-pro-max,iPhone 13 Pro Max 128GB Chính hãng VN/A,https://didongthongminh.vn/images/products/2022/03/17/resized/ảnh-thumb_1647522558.jpg,28.940.000đ ,iphone,"6.7"" - Tần số quét 120 Hz ",4352 mAh ,Apple A15 Bionic 6 nhân ,6 GB ,128 GB 
https://didongthongminh.vn/iphone-13-256gb,iPhone 13 256GB Chính Hãng VN/A,https://didongthongminh.vn/images/products/2022/03/09/resized/iphone-13-xanh-la_1646813658.png,23.190.000đ ,iphone,"6.1"" - Tần số quét 60 Hz ",3240 mAh ,Apple A15 Bionic 6 nhân ,6 GB ,256 GB 
https://didongthongminh.vn/iphone-13-128gb,iPhone 13 128GB Chính Hãng VN/A,https://didongthongminh.vn/images/products/2022/03/09/resized/iphone-13-xanh-la_1646814923.png,20.490.000đ ,iphone,"6.1"" - Tần số quét 60 Hz ",3240 mAh ,Apple A15 Bionic 6 nhân ,4 GB ,128 GB 
https://didongthongminh.vn/iphone-12-64gb-chinh-hang-vn-a,iPhone 12 64GB Chính Hãng VN/A,https://didongthongminh.vn/images/products/2022/01/25/resized/iphone-12-64gb-tim-chinh-hang_1643104620.jpg,15.890.000đ ,iphone,"6.1"" - Tần số quét 60 Hz ",2815 mAh ,Apple A14 Bionic 6 nhân ,4 GB ,64 GB 
https://didongthongminh.vn/iphone-12-pro-max-256gb-cu-99-dep-nhu-moi,iPhone 12 Pro Max Cũ Đẹp 256GB,https://didongthongminh.vn/images/products/2022/01/26/resized/iphone-12-pro-max-256gb-cu-xanh-navy-chinh-hang_1643161617.jpg,23.990.000đ ,iphone,"6.7"" - Tần số quét 60 Hz ",3687 mAh ,,,8 GB 
https://didongthongminh.vn/iphone-13-pro-128gb-chinh-hang-vn-a,iPhone 13 Pro 128GB Chính hãng VN/A,https://didongthongminh.vn/images/products/2022/01/25/resized/iphone-13-pro-128gb-gold-chinh-hang_1643098864.jpg,27.090.000đ ,iphone,"6.1"" - Tần số quét 120 Hz ",3095 mAh ,Apple A15 Bionic 6 nhân ,6 GB  ,128 GB 
https://didongthongminh.vn/iphone-12-128gb-chinh-hang-vn-a,iPhone 12 128GB Chính Hãng VN/A,https://didongthongminh.vn/images/products/2022/01/25/resized/iphone-12-128gb-xanh-chinh-hang_1643104685.jpg,17.590.000đ ,iphone,"6.1"" - Tần số quét 60 Hz ",2815 mAh ,Apple A14 Bionic 6 nhân ,4 GB ,128 GB 
https://didongthongminh.vn/iphone-13-pro-max-512gb-chinh-hang-vn-a,iPhone 13 Pro Max 512GB Chính hãng VN/A,https://didongthongminh.vn/images/products/2022/01/25/resized/iphone-13-pro-max-512gb-seria-blue-chinh-hang_1643098671.jpg,36.490.000đ ,iphone,"6.7"" - Tần số quét 120 Hz ",4352 mAh ,Apple A15 Bionic 6 nhân ,6 GB ,512 GB 
https://didongthongminh.vn/iphone-12-pro-max-cu-dep-128gb,iPhone 12 Pro Max Cũ 128GB,https://didongthongminh.vn/images/products/2022/01/26/resized/iphone-12-pro-max-128gb-cu-xanh-navy-chinh-hang_1643161682.jpg,22.190.000đ ,iphone,"6.7"" - Tần số quét 60 Hz ",3687 mAh ,Apple A14 Bionic 6 nhân ,6 GB ,128 GB 
