pathImg,price,title,hot_line,url,point,rating_total,star_percent_list,producer,memory,Camera chính,Camera phụ,chip,Độ phân giải màn hình,Dung lượng pin,Hệ điều hành,Kích thước màn hình,ram
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2019/04/apple-iphone-xs-gold.png,8.990.000,Apple iPhone Xs 64GB Cũ,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-xs-64gb-cu/,4.55,(304 đánh giá),"209 đánh giá,72 đánh giá,12 đánh giá,3 đánh giá,8 đánh giá",iPhone,64 GB,12 MP,7.0 MP,Apple A12 Bionic 6 nhân,1125 x 2436 pixels,Li-Ion 2658 mAh,iOS 12,5.8 inches,4 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2019/03/6sssssss-1-1.png,2.490.000,Apple Iphone 6S Lock 32GB Mới Trần,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-6s-lock-32gb-moi-tran/,4.77,(26 đánh giá),"23 đánh giá,1 đánh giá,1 đánh giá,1 đánh giá,0 đánh giá",iPhone,32 GB,12 MP,5.0 MP,Apple A9,"IPS FullHD, 1920×1080 pixels",Li-Po 1715 mAh,,4.7 inches,2GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2019/03/iPhone-7-plus-vang.png,4.990.000,Apple iPhone 7 Plus 32GB Quốc tế Cũ,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-7-plus-32gb-quoc-te-cu/,4.49,(135 đánh giá),"92 đánh giá,26 đánh giá,11 đánh giá,3 đánh giá,3 đánh giá",iPhone,32 GB,12 MP,7.0 MP,Apple A10 Fusion,1920 x 1080 pixel (~401 ppi),Li-Ion 2900 mAh,,5.5 inches,3 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2019/06/avt-xr-esim.png,9.590.000,Apple iPhone XR 128GB Quốc Tế Cũ,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-xr-128gb-quoc-te-cu/,4.50,(22 đánh giá),"15 đánh giá,5 đánh giá,1 đánh giá,0 đánh giá,1 đánh giá",iPhone,128GB,12 MP,7.0 MP,Apple A12 Bionic 6 nhân,828 x 1792 pixels,Li-Ion 2942 mAh,iOS 12,"IPS LCD , 6.1 inches",3 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2019/03/6sssssss-1-1.png,3.390.000,Apple iPhone 6S Plus 16GB Quốc Tế Likenew,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-6s-plus-16gb-quoc-te-likenew/,4.79,(19 đánh giá),"17 đánh giá,1 đánh giá,0 đánh giá,1 đánh giá,0 đánh giá",iPhone,16GB,12 MP,5.0 MP,Apple A9,"IPS FullHD, 1920×1080 pixels",Li-Po 2750 mAh,"iOS 9, upgradable to iOS 10.1",5.5 inches,2GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2019/03/6sssssss-1-1.png,3.690.000,Apple iPhone 6S Plus 32GB Quốc Tế Likenew,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-6s-plus-32gb-quoc-te-likenew-2/,4.35,(0 đánh giá),"0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá,0 đánh giá",iPhone,32 GB,12 MP,5.0 MP,Apple A9,"IPS FullHD, 1920×1080 pixels",Li-Po 2750 mAh,"iOS 9, upgradable to iOS 10.1",5.5 inches,2GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2019/03/6sssssss-1-1.png,2.790.000,Apple Iphone 6S 32GB Quốc Tế Likenew,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-6s-32gb-quoc-te-likenew/,4.35,(40 đánh giá),"22 đánh giá,14 đánh giá,2 đánh giá,0 đánh giá,2 đánh giá",iPhone,32 GB,12 MP,5.0 MP,Apple A9,"IPS FullHD, 1920×1080 pixels",Li-Po 1715 mAh,,4.7 inches,2GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2021/03/avt-se-red.jpg,6.790.000,Apple iPhone SE 2020 64GB Likenew,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-se-2020-64gb-cu/,4.71,(34 đánh giá),"26 đánh giá,7 đánh giá,0 đánh giá,1 đánh giá,0 đánh giá",iPhone,64 GB,"12 MP, f/1.8, (wide), 1/3"", 1.22µm, dual pixel PDAF",12 MP,Apple A13 Bionic (7 nm+),750 x 1334 pixels (~326 ppi),Li-Lon 1821 mAh,iOS 13,4.7 inches,4 GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2019/03/6sssssss-1-1.png,3.990.000,Apple iPhone 6S Plus 64GB Quốc Tế Likenew,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-6s-plus-64gb-quoc-te-likenew-2/,4.55,(11 đánh giá),"8 đánh giá,1 đánh giá,2 đánh giá,0 đánh giá,0 đánh giá",iPhone,64 GB,12 MP,5.0 MP,Apple A9,"IPS FullHD, 1920×1080 pixels",Li-Po 2750 mAh,"iOS 9, upgradable to iOS 10.1",5.5 inches,2GB
https://hcm-clickbuy.cdn.vccloud.vn/uploads/2019/03/iPhone-8-plus-do.png,7.190.000,Apple iPhone 8 Plus 64GB Cũ,1900.63.39.09,https://hcm.clickbuy.com.vn/apple-iphone-8-plus-64gb-cu/,4.59,(224 đánh giá),"156 đánh giá,50 đánh giá,15 đánh giá,0 đánh giá,3 đánh giá",iPhone,64 GB,Dual 12 MP,7.0 MP,Apple A11 Bionic,1920 x 1080 pixel (~401 ppi),Li-Ion 2691 mAh,,5.5 inches,3 GB
