pathImg,option,price,title,hot_line,url,point,rating_total,producer,Công nghệ màn hình,Độ phân giải,Hệ điều hành,chip,memory,ram,Mạng di động,Số khe sim,color
"{'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/09/15/image-removebg-preview-11.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/09/15/image-removebg-preview-13.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/09/15/image-removebg-preview-10.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/09/15/image-removebg-preview-12.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/09/15/image-removebg-preview-14.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2022/03/09/image-removebg-preview-2.png'}",128GB,"20,490,000 ₫",Điện thoại di động Apple iPhone 13 - Chính hãng VN/A,1900.2091,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-13-128gb-chinh-hang-vn-a,TB 4.63,4 lượt đánh giá,iPhone,OLED,"2 camera 12 MP, 12 MP",iOS 15,Apple A15 Bionic 6 nhân,128 GB,4 GB,Hỗ trợ 5G,1 Nano SIM &amp; 1 eSIM,"Red,Blue,Starlight,Midnight,Pink,Green"
"{'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-2.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/04/22/image-removebg-preview_637547045799326930.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-4.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-5.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-3.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini.png'}",64GB,"15,890,000 ₫",Điện thoại di động Apple iPhone 12 - 64GB - chính hãng VN/A,1900.2091,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-64gb-chinh-hang-vn-a,TB,0 lượt đánh giá,iPhone,OLED,"2 camera 12 MP, 12 MP",iOS 14,Apple A14 Bionic 6 nhân,64 GB,4 GB,Hỗ trợ 5G,1 Nano SIM &amp; 1 eSIM,"Purple,Black,Blue,White,Red,Green"
"{'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-2.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-5.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-4.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-3.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini.png'}",256GB,"19,950,000 ₫",Apple iPhone 12 Mini - 256GB - Chính hãng VN/A,1900.2091,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-mini-256gb-chinh-hang-vn-a,TB,0 lượt đánh giá,iPhone,OLED,"2 camera 12 MP, 12 MP",iOS 14,Apple A14 Bionic 6 nhân,256 GB,4 GB,Hỗ trợ 5G,1 Nano SIM &amp; 1 eSIM,"Black,Blue,White,Red,Green"
"{'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-2.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-5.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-4.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-3.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/04/22/image-removebg-preview-1.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini.png'}",128GB,"15,990,000 ₫",Apple iPhone 12 Mini - 128GB - Chính hãng VN/A,1900.2091,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-mini-128gb-chinh-hang-vn-a,TB,0 lượt đánh giá,iPhone,OLED,"2 camera 12 MP, 12 MP",iOS 14,Apple A14 Bionic 6 nhân,128 GB,4 GB,Hỗ trợ 5G,1 Nano SIM &amp; 1 eSIM,"Black,Blue,White,Red,Green,Purple"
"{'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-2.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-5.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-4.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-3.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/04/22/image-removebg-preview-1.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini.png'}",64GB,"14,990,000 ₫",Apple iPhone 12 Mini - 64GB - Chính hãng VN/A,1900.2091,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-mini-64gb-chinh-hang-vn-a,TB,0 lượt đánh giá,iPhone,OLED,"2 camera 12 MP, 12 MP",iOS 14,Apple A14 Bionic 6 nhân,64 GB,4 GB,Hỗ trợ 5G,1 Nano SIM &amp; 1 eSIM,"Black,Blue,White,Red,Green,Purple"
"{'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-2.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/04/22/image-removebg-preview_637547045799326930.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-4.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-5.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-3.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini.png'}",128GB,"17,590,000 ₫",Apple iPhone 12 - 128GB - Chính hãng VN/A,1900.2091,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-128gb-chinh-hang-vn-a,TB,0 lượt đánh giá,iPhone,OLED,"2 camera 12 MP, 12 MP",iOS 14,Apple A14 Bionic 6 nhân,128 GB,4 GB,Hỗ trợ 5G,1 Nano SIM &amp; 1 eSIM,"Purple,Black,Blue,White,Red,Green"
"{'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/10/10/iphone 11 (3).png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/10/10/iphone 11 (5).png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/10/10/iphone 11 (8).png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/10/10/iphone 11 (6).png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/10/10/iphone 11 (9).png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/10/10/iphone 11 (2).png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/10/10/iphone 11 (7).png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/10/10/iphone 11 (10).png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/10/10/iphone 11 (1).png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/10/10/iphone 11 (11).png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/10/10/iphone 11 (4).png'}",128GB,"13,090,000 ₫",iPhone 11 - 128GB - Chính hãng VN/A,1900.2091,https://hoanghamobile.com/dien-thoai-di-dong/iphone-11-128gb-chinh-hang-vn-a,TB 4,11 lượt đánh giá,iPhone,IPS LCD,"2 camera 12 MP, 12 MP",iOS 14,Apple A13 Bionic 6 nhân,128 GB,4 GB,Hỗ trợ 4G,1 Nano SIM &amp; 1 eSIM,"Yellow,Green,Black,White,Red,Purple"
"{'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-2.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-5.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-4.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/04/22/image-removebg-preview_637547045799326930.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini-3.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/11/06/apple-iphone-12-mini.png'}",256GB,"22,390,000 ₫",Apple iPhone 12 - 256GB - Chính hãng VN/A,1900.2091,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-256gb-chinh-hang-vn-a,TB,0 lượt đánh giá,iPhone,OLED,"2 camera 12 MP, 12 MP",iOS 14,Apple A14 Bionic 6 nhân,256 GB,4 GB,Hỗ trợ 5G,1 Nano SIM &amp; 1 eSIM,"Red,Black,Blue,White,Green,Purple"
"{'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/09/15/image-removebg-preview-11.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/09/15/image-removebg-preview-13.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/09/15/image-removebg-preview-10.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/09/15/image-removebg-preview-12.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/09/15/image-removebg-preview-14.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2022/03/09/image-removebg-preview-2.png'}",128GB,"18,790,000 ₫",Điện thoại di động Apple iPhone 13 Mini - Chính hãng VN/A,1900.2091,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-13-mini-128gb-chinh-hang-vn-a,TB,0 lượt đánh giá,iPhone,OLED,"2 camera 12 MP, 12 MP",iOS 15,Apple A15 Bionic 6 nhân,128 GB,4 GB,Hỗ trợ 5G,1 Nano SIM &amp; 1 eSIM,"Blue,Red,Pink,Starlight,Midnight,Green"
"{'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/12/11/11-64-do.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2021/02/03/iphone-11-64gb.png', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/09/17/apple-iphone-11-64gb-6.1.jpg', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/09/17/maxresdefault (1).jpg', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/09/17/ip11_white.jpg', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/09/17/iPhone-11-Green-9to5Mac.jpg', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/09/17/ip11_white-2.jpg', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/09/17/11_Green.jpg', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/09/17/s-l640.jpg', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/09/17/maxresdefault.jpg', 'https://cdn.hoanghamobile.com/i/productlist/dst/Uploads/2020/09/17/51kGDXeFZKL._SL1024_.jpg'}",64GB,"11,390,000 ₫",iPhone 11 - 64GB - Chính hãng,1900.2091,https://hoanghamobile.com/dien-thoai-di-dong/iphone-11-64gb-chinh-hang-vn-a,TB 4.12,17 lượt đánh giá,iPhone,IPS LCD,"2 camera 12 MP, 12 MP",iOS 14,Apple A13 Bionic 6 nhân,64 GB,4 GB,Hỗ trợ 4G,1 Nano SIM &amp; 1 eSIM,"White,Red,Yellow,Black,Green,Purple"
