pathImg,price,title,hot_line,url,rating_total,producer,Màn hình,Hệ điều hành,Camera sau,Camera trước,CPU,ram,memory,chip,Dung lượng pin,Thiết kế
https://cdn.mobilecity.vn/mobilecity-vn/images/2022/07/w300/iphone-12-do.jpg,Liên hệ,iPhone 12 Chính hãng,0969.120.120,https://mobilecity.vn/dien-thoai/iphone-12-chinh-hang.html,0 đánh giá và hỏi đáp,Apple (iPhone) - Quốc tế,"Super Retina XDR OLED, HDR10, Dolby Vision, 1200 nits","6.1 inches, Full HD+ (1170 x 2532 pixels)","Thủy tinh gốm chống xước, lớp phủ oleophobic",True-tone,"iOS 14.1, có thể update iOS 16","12 MP, f/1.6, 26mm (góc rộng), dual pixel PDAF, OIS","12 MP, f/2.4, 13mm, 120˚ (góc siêu rộng)","Quay phim 4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 30fps), stereo sound rec.","12 MP, f/2.2, 23mm (góc rộng)","SL 3D, (đo độ sâu/sinh trắc học)"
https://cdn.mobilecity.vn/mobilecity-vn/images/2018/12/w300/vsmart-joy-1-chinh-hang-8.jpg,Liên hệ,Vsmart Joy 1,0969.120.120,https://mobilecity.vn/vsmart/vsmart-joy-1-chinh-hang.html,15 đánh giá và hỏi đáp,Vsmart,DVGA,Android 8.1 (Oreo) VOS,13MP,5MP,Snapdragon 425,2 GB,32 GB,1 SIM,3000 mAh,Thanh + Cảm ứng
https://cdn.mobilecity.vn/mobilecity-vn/images/2019/03/w300/google-pixel-2-1.jpg,Liên hệ,Google Pixel 2 cũ,0969.120.120,https://mobilecity.vn/google/google-pixel-2-cu.html,13 đánh giá và hỏi đáp,Google,"AMOLED 1080 x 1920 pixels, 169 ratio",Android 9.0 (Pie),"12.2MP, f/1.8, 27mm","8 MP, f/2.4, 27mm (wide), 1/3.2, 1.4µm",Qualcomm MSM8998 Snapdragon 835 (10 nm),4GB,64GB,1 Sim,2700mAh,"Khung kim loại, kính kết hợp kim loại ở mặt lưng"
https://cdn.mobilecity.vn/mobilecity-vn/images/2019/01/w300/lg-g6-trang.jpg,Liên hệ,LG G6 2 SIM cũ,0969.120.120,https://mobilecity.vn/lg/lg-g6-2-sim-cu.html,12 đánh giá và hỏi đáp,LG,"IPS LCD, 2K (1440 x 2880 pixels), 5.7 inches","Android OS, v7.0 (Nougat)",13 MP (f/1.8) + 13 MP (f/2.4),5 MP,Qualcomm Snapdragon 821 (14nm),4 GB,32GB - 64GB,2 SIM - 2 Sóng,"3300 mAh, sạc nhanh 18W",Thanh + Cảm ứng
https://cdn.mobilecity.vn/mobilecity-vn/images/2018/11/w300/nokia-x5-cu-1.jpg,Liên hệ,Nokia X5 cũ,0969.120.120,https://mobilecity.vn/nokia/nokia-x5-cu.html,10 đánh giá và hỏi đáp,Nokia,HD+,Android 8.1 (Oreo); Android One,Dual 13 MP + 5MP,"8 MP, f/2.2, 27mm",Mediatek MT6771 Helio P60,3GB - 4 GB,32GB - 64GB,2 SIM - 2 Sóng,3060 mAh,Thanh + Cảm ứng
https://cdn.mobilecity.vn/mobilecity-vn/images/2019/09/w300/mc-asus-rog-phone-2.jpg,Liên hệ,Asus ROG Phone 2 RAM 12GB - 512GB (Full Vali Siêu khủng),0969.120.120,https://mobilecity.vn/asus/asus-rog-phone-2-ram-12gb-512gb.html,79 đánh giá và hỏi đáp,Asus,"AMOLED, Full HD+ (1080 x 2340 pixels), 6.59 inches","Android 9.0 (Pie), ROG UI",2 Camera sau 48MP + 13MP (góc rộng),24MP,Snapdragon 855 Plus (7nm),12GB,512GB,2 Sim,6000mAh - Sạc nhanh 30W,Thiết kế Gaming ROG của ASUS
https://cdn.mobilecity.vn/mobilecity-vn/images/2022/02/w300/zte-nubia-z40.jpg,Liên hệ,Nubia Z40,0969.120.120,https://mobilecity.vn/dien-thoai/nubia-z40.html,0 đánh giá và hỏi đáp,ZTE (Nubia),"AMOLED, 1 tỷ màu, 144Hz, HDR10+, tỷ lệ 209","6.67 inches, Full HD+ (1080 x 2400 pixels)",Cảm biến vân tay trong màn hình,"Android 11, nubia UI 9","64 MP, f/1.6, 26mm (góc rộng), PDAF, Laser AF, OIS","64 MP, f/1.9, 35mm (tiêu chuẩn), PDAF","8 MP, f/3.4, 123mm (periscope telephoto), PDAF, OIS, 5x optical zoom","64 MP, f/2.2, 13mm, 120˚ (góc siêu rộng)","Quay phim 8K@30fps, 4K@30/60fps, 1080p@30fps, gyro-EIS, HDR10",đang cập nhật
https://cdn.mobilecity.vn/mobilecity-vn/images/2021/12/w300/vivo-x70-3.jpg,Liên hệ,Vivo X70 5G,0969.120.120,https://mobilecity.vn/vivo/vivo-x70-5g.html,1 đánh giá và hỏi đáp,Vivo (iQOO),"AMOLED, 120Hz, HDR10+","6.56 inches, Full HD+ (1080 x 2376 pixels)","Android 11, Funtouch OS 12 (Quốc tế), OriginOS 1.0 (Nội địa)","40 MP, f/1.9, (góc rộng), PDAF","12 MP, f/2.0 (telephoto), PDAF, zoom quang học 2x","12 MP, f/2.2 (góc siêu rộng)","Quay phim 4K@30/60fps, 1080p@30/60fps, gyro-EIS, HDR10+","32 MP, f/2.5 (góc rộng)","Quay phim 4K@30fps, 1080p@30fps",MediaTek MT6893 Dimensity 1200 5G (6 nm)
https://cdn.mobilecity.vn/mobilecity-vn/images/2022/03/w300/realme-v25-xanh-tim.png,7.450.000 ₫,Realme V25,0969.120.120,https://mobilecity.vn/dien-thoai/realme-v25.html,0 đánh giá và hỏi đáp,Realme,"IPS LCD, 120Hz, tỷ lệ 209","6.6 inches, Full HD+ (1080 x 2412 pixels)","Android 12, Realme UI 3.0",64MP (góc rộng),2MP (độ sâu),2MP (macro),Quay phim 1080p@30fps,16MP (góc rộng),Quay phim 1080p@30fps,Qualcomm SM6375 Snapdragon 695 5G (6 nm)
https://cdn.mobilecity.vn/mobilecity-vn/images/2022/05/w300/oppo-reno-8pro-vang.jpg,Liên hệ,OPPO Reno8 Pro (China),0969.120.120,https://mobilecity.vn/dien-thoai/oppo-reno8-pro.html,0 đánh giá và hỏi đáp,OPPO,"AMOLED, 120Hz, HDR10+, 1300 nits (tối đa)","6.62 inches, Full HD+ (1080 x 2400 pixels), tỷ lệ 209",Corning Gorilla Glass 5,Cảm biến vân tay trong màn hình,"Android 12, ColorOS 12.1","50 MP, f/1.8, 24mm (góc rộng), PDAF","8 MP, f/2.2, 120˚ (góc siêu rộng)","2 MP, f/2.4, (macro)","Quay phim 4K@30fps, 1080p@30/60/120fps, gyro-EIS","32 MP, f/2.4, 24mm (góc rộng)"
https://cdn.mobilecity.vn/mobilecity-vn/images/2022/04/w300/xiaomi-redmi-9c-cam.jpg,2.750.000 ₫,Xiaomi Redmi 9C (Chính hãng DGW),0969.120.120,https://mobilecity.vn/xiaomi/xiaomi-redmi-9c.html,0 đánh giá và hỏi đáp,Xiaomi,"HD+ 720 x 1600 pixels, 209","Android 10, MIUI 12","13 MP, f / 1.8 - 5 MP, f / 2.4, (macro) - 2 MP, f / 2.4, (độ sâu)",5 MP,MediaTek Helio G35 (12 nm),3-4GB,64-128GB,2 SIM,5000 mAh - Sạc nhanh 10W,"Thanh, cảm ứng"
https://cdn.mobilecity.vn/mobilecity-vn/images/2022/04/w300/oneplus-ace-lite.jpg,Liên hệ,OnePlus Ace Lite,0969.120.120,https://mobilecity.vn/dien-thoai/oneplus-ace-lite.html,0 đánh giá và hỏi đáp,OnePlus,LCD LTPS,"6.59 inches, Full HD+ (1080 x 2412 pixels)","Android 12, ColorOS 12.1",64 MP (góc rộng),8 MP (góc siêu rộng),2 MP (marco),16 MP,Dimensity 8000 Max,GPU Mali-610,8-12GB
https://cdn.mobilecity.vn/mobilecity-vn/images/2021/12/w300/samsung-galaxy-m32-1.jpg,4.950.000 ₫,Samsung Galaxy M32 (Chính hãng),0969.120.120,https://mobilecity.vn/samsung/samsung-galaxy-m32.html,0 đánh giá và hỏi đáp,Samsung,"Super AMOLED, tỷ lệ 209","6.4 inches, tần số quét 90Hz",Full HD+ (1080 x 2400 pixels),Corning Gorilla Glass 5,"Android 11, One UI 3.1","64 MP, f/1.8 (góc rộng), PDAF","8 MP, f/2.2 (góc siêu rộng)","2 MP, f/2.4 (macro)","2 MP, f/2.2  (đo chiều sâu)","Quay phim 1080p@30fps, HDR"
https://cdn.mobilecity.vn/mobilecity-vn/images/2019/11/w300/smartisan-nut-pro-3.jpg,8.950.000 ₫,Smartisan Nut Pro 3 (Tiktok Phone),0969.120.120,https://mobilecity.vn/smartisan/smartisan-nut-pro-3.html,24 đánh giá và hỏi đáp,Smartisan,Super AMOLED 1080 x 2340 pixels 6.39 inches,Android 9.0 (Pie); Smartisan OS 7.0,4 camera ( 48 MP 13 MP  8 MP 5 MP),20MP,Snapdragon 855+,6/8G RAM,64GB/128GB,2 Sim,4000 mAh,Thiết kế nguyên khối chữ U
https://cdn.mobilecity.vn/mobilecity-vn/images/2022/02/w300/gionee-k10-den.jpg,Liên hệ,Gionee K10,0969.120.120,https://mobilecity.vn/dien-thoai/gionee-k10.html,0 đánh giá và hỏi đáp,Gionee,"IPS LCD, 60Hz, tỷ lệ 209","6.8 inches, HD+ (720 x 1600 pixels)",Android 10,"13MP (góc rộng), f/1.8","5MP (góc siêu rộng), f/2.2","2MP (depth), f/2.4",Quay phim 1080p@30fps,"5MP, f/2.2",Quay phim 1080p@30fps,Unisoc Tiger T310 SoC (12nm)
https://cdn.mobilecity.vn/mobilecity-vn/images/2022/07/w300/hero-lam.png,3.290.000 ₫,Thành Hưng Hero 9,0969.120.120,https://mobilecity.vn/dien-thoai/thanh-hung-hero-9.html,0 đánh giá và hỏi đáp,Hãng khác,"IPS LCD, tỷ lệ 209","6.517 inches, HD+ (720 x 1600 pixels)",Màn hình giọt nước,Android 11,13 MP (góc rộng),0.08 MP,0.08 MP,Quay phim FullHD 1080p@30fps,8 MP,Quay phim FullHD 1080p@30fps
https://cdn.mobilecity.vn/mobilecity-vn/images/2016/11/w300/Huawei-Mate-8.png,Liên hệ,Huawei Mate 8,0969.120.120,https://mobilecity.vn/huawei/huawei-mate-8-prd943.html,0 đánh giá và hỏi đáp,Huawei,Full HD,"Android OS, v6.0 Marshmallow",16 MP,8 MP,HiSilicon Kirin 950,3GB - 4 GB,32 GB - 64 GB,2 SIM - 2 Sóng,4000 mAh,Cảm ứng
